[2015]
Iso-Britannia,Kanada,2,4
Itävalta,Tanska,1,5
Norja,Tsekki,3,6
Suomi,Iso-Britannia,8,0
Tanska,Kanada,1,5
Itävalta,Sveitsi,5,6
Norja,Suomi,1,4
Sveitsi,Tsekki,1,1
Tanska,Norja,0,2
Kanada,Itävalta,6,6
Tsekki,Tanska,7,4
Sveitsi,Iso-Britannia,3,0
Suomi,Itävalta,2,3
Kanada,Norja,4,1
Iso-Britannia,Tanska,3,4
Tsekki,Itävalta,4,0
Tanska,Sveitsi,0,8
Kanada,Suomi,5,3
Tsekki,Iso-Britannia,4,1
Norja,Itävalta,1,4
Sveitsi,Kanada,2,3
Iso-Britannia,Norja,2,5
Suomi,Tanska,3,1
Itävalta,Iso-Britannia,2,4
Kanada,Tsekki,3,3
Suomi,Sveitsi,1,3
[2025]
Itävalta,Suomi,1,2
Sveitsi,Tsekki,4,4
Ruotsi,Slovakia,5,0
Tanska,Yhdysvallat,0,5
Slovenia,Kanada,0,4
Norja,Kazakstan,1,2
Ruotsi,Itävalta,4,2
Saksa,Unkari,6,1
Ranska,Latvia,1,4
Tanska,Sveitsi,2,5
Slovakia,Slovenia,3,1
Yhdysvallat,Unkari,6,0
Latvia,Kanada,1,7
Saksa,Kazakstan,4,1
Suomi,Ranska,3,3
Norja,Tsekki,1,2
Itävalta,Slovakia,2,2
Yhdysvallat,Sveitsi,0,3
Suomi,Ruotsi,1,2
Tsekki,Tanska,7,2
Slovenia,Latvia,2,5
Norja,Saksa,2,5
Kanada,Ranska,5,0
Kazakstan,Unkari,2,4
Slovakia,Ranska,2,1
Yhdysvallat,Norja,5,5
Latvia,Ruotsi,0,6
Kazakstan,Tanska,1,5
Suomi,Slovenia,9,1
Sveitsi,Saksa,5,1
Kanada,Itävalta,5,1
Tsekki,Unkari,6,1
Itävalta,Ranska,5,2
Unkari,Tanska,2,8
Ruotsi,Slovenia,4,0
Sveitsi,Norja,3,0
Suomi,Latvia,2,1
Yhdysvallat,Saksa,6,3
Ranska,Ruotsi,0,4
Tsekki,Kazakstan,8,1
Kanada,Slovakia,7,0
Tanska,Norja,6,3
Slovenia,Itävalta,2,2
Kazakstan,Yhdysvallat,1,6
Slovakia,Latvia,1,5
Unkari,Sveitsi,0,10
Ranska,Slovenia,1,3
Saksa,Tsekki,0,5
Kanada,Suomi,1,1
Unkari,Norja,0,1
Latvia,Itävalta,1,6
Sveitsi,Kazakstan,4,1
Slovakia,Suomi,1,2
Tsekki,Yhdysvallat,2,5
Ruotsi,Kanada,3,5
Saksa,Tanska,1,1
